Ańo;Ranking;Distrito;Vulnerabilidad
2020;1;13. Puente de Vallecas;0,011032789
2020;2;17. Villaverde;0,010209846
2020;3;12. Usera;0,010118394
2020;4;11. Carabanchel;0,0095895
2020;5;10. Latina;0,008578466
2020;6;18. Villa de Vallecas;0,008817807
2020;7;20. San Blas;0,008328441
2020;8;06. Tetuán;0,008002216
2020;9;14. Moratalaz;0,007921616
2020;10;19. Vicálvaro;0,008099604
2020;11;01. Centro;0,007562206
2020;12;15. Ciudad Lineal;0,007189578
2020;13;02. Arganzuela;0,006688403
2020;14;16. Hortaleza;0,006617439
2020;15;08. Fuencarral-El Pardo;0,006394924
2020;16;21. Barajas;0,006554107
2020;17;07. Chamberí;0,006030936
2020;18;09. Moncloa-Aravaca;0,006000862
2020;19;04. Salamanca;0,005860356
2020;20;03. Retiro;0,005864721
2020;21;05. Chamartín;0,005775372
2019;1;13. Puente de Vallecas;0,011247451
2019;2;17. Villaverde;0,010083826
2019;3;12. Usera;0,009892036
2019;4;11. Carabanchel;0,009774025
2019;5;10. Latina;0,008838729
2019;6;18. Villa de Vallecas;0,008486671
2019;7;20. San Blas;0,008258837
2019;8;06. Tetuán;0,008022432
2019;9;14. Moratalaz;0,007824646
2019;10;19. Vicálvaro;0,007731246
2019;11;01. Centro;0,007590299
2019;12;15. Ciudad Lineal;0,007391617
2019;13;02. Arganzuela;0,006656397
2019;14;16. Hortaleza;0,006633507
2019;15;08. Fuencarral-El Pardo;0,0064923
2019;16;21. Barajas;0,006319367
2019;17;07. Chamberí;0,006026449
2019;18;09. Moncloa-Aravaca;0,005960662
2019;19;04. Salamanca;0,005908347
2019;20;03. Retiro;0,005854546
2019;21;05. Chamartín;0,005761066
2018;1;13. Puente de Vallecas;0,0115
2018;2;17. Villaverde;0,0101
2018;3;12. Usera;0,0101
2018;4;11. Carabanchel;0,0099
2018;5;10. Latina;0,009
2018;7;18. Villa de Vallecas;0,0086
2018;6;19. Vicálvaro;0,0086
2018;8;20. San Blas;0,0085
2018;9;06. Tetuán;0,0084
2018;10;01. Centro;0,0079
2018;11;14. Moratalaz;0,0079
2018;12;15. Ciudad Lineal;0,0075
2018;13;02. Arganzuela;0,0069
2018;14;16. Hortaleza;0,0068
2018;15;08. Fuencarral-El Pardo;0,0066
2018;16;21. Barajas;0,0065
2018;17;07. Chamberí;0,0062
2018;19;04. Salamanca;0,006
2018;18;09. Moncloa-Aravaca;0,0061
2018;21;03. Retiro;0,0059
2018;20;05. Chamartín;0,0059
