E. Edificación y Vivienda
Mercado de la vivienda
Sistema Estatal de Referencia del Precio del Alquiler de Vivienda
"4.4.1. Número de viviendas en alquiler, Superficie media (m2), Renta media (€/m2.mes) y Cuantía media del arrendamiento (€/mes) por Distrito"
Año;Distrito;Número de viviendas en alquiler;Número de viviendas en alquiler;Número de viviendas en alquiler;Superficie media vivienda colectiva (m2);Superficie media vivienda colectiva (m2);Superficie media vivienda colectiva (m2);Renta media vivienda colectiva (€/m2.mes);Renta media vivienda colectiva (€/m2.mes);Renta media vivienda colectiva (€/m2.mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Superficie media vivienda unifamiliar (m2);Superficie media vivienda unifamiliar (m2);Superficie media vivienda unifamiliar (m2);Renta media vivienda unifamiliar (€/m2.mes);Renta media vivienda unifamiliar (€/m2.mes);Renta media vivienda unifamiliar (€/m2.mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes)
Año;Distrito;Número total de  viviendas alquiler;Número de viviendas colectivas en alquiler;Número de viviendas unifamiliares en alquiler;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75;Mediana;Percentil 25;Percentil 75
2020;Ciudad de Madrid;"262.491,00";"259.511,00";"2.980,00";"66,00";"51,00";"84,00";"12,12";"9,47";"15,63";"754,17";"600,00";"1.000,00";"168,00";"80,00";"269,75";"10,08";"7,33";"13,21";"1.166,08";"658,47";"2.200,00"
2020;01. Centro;"18.981,00";"18.974,00";"7,00";"54,00";"41,00";"77,00";"15,36";"11,88";"18,94";"829,17";"650,00";"1.098,07";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2020;02. Arganzuela;"14.552,00";"14.549,00";"3,00";"63,00";"47,00";"81,00";"13,89";"11,32";"16,78";"833,33";"661,01";"1.033,25";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2020;03. Retiro;"9.186,00";"9.153,00";"33,00";"72,00";"51,00";"95,00";"13,95";"11,37";"17,07";"941,52";"746,89";"1.225,00";"181,00";"82,50";"241,00";"12,22";"6,21";"14,59";"1.095,00";"728,85";"2.636,68"
2020;04. Salamanca;"15.653,00";"15.584,00";"69,00";"65,00";"47,00";"93,00";"15,60";"12,14";"19,47";"967,50";"750,00";"1.346,97";"201,00";"110,50";"247,50";"10,38";"6,80";"13,95";"1.385,43";"993,00";"2.225,34"
2020;05. Chamartín;"14.305,00";"14.049,00";"256,00";"67,00";"50,00";"90,00";"14,72";"11,97";"17,83";"950,00";"750,00";"1.259,40";"179,50";"124,00";"267,25";"13,60";"10,04";"17,64";"2.109,22";"1.440,36";"3.157,25"
2020;06. Tetuán;"17.586,00";"17.535,00";"51,00";"56,00";"44,00";"73,00";"13,82";"10,95";"17,13";"752,03";"609,45";"947,58";"80,00";"70,00";"161,00";"11,44";"8,92";"13,64";"983,33";"700,00";"1.256,25"
2020;07. Chamberí;"17.537,00";"17.521,00";"16,00";"63,00";"46,00";"90,00";"15,91";"12,64";"19,51";"990,00";"750,00";"1.325,45";"49,00";"42,00";"102,00";"15,61";"8,93";"18,85";"716,67";"575,32";"1.112,50"
2020;08. Fuencarral-El Pardo;"18.660,00";"18.208,00";"452,00";"77,00";"55,00";"104,00";"12,24";"10,27";"14,34";"879,46";"682,66";"1.150,00";"199,00";"97,00";"293,25";"9,85";"7,33";"12,35";"1.313,34";"750,00";"2.143,87"
2020;09. Moncloa-Aravaca;"9.948,00";"9.516,00";"432,00";"70,00";"54,00";"93,00";"13,47";"10,81";"16,61";"900,00";"704,22";"1.247,49";"241,00";"183,25";"335,50";"10,85";"7,40";"13,65";"1.836,17";"1.075,75";"2.600,00"
2020;10. Latina;"16.783,00";"16.679,00";"104,00";"66,00";"58,00";"74,00";"9,84";"8,30";"11,81";"650,00";"550,00";"750,00";"86,50";"68,25";"134,50";"8,47";"6,66";"10,15";"679,00";"536,91";"867,89"
2020;11. Carabanchel;"18.221,00";"18.135,00";"86,00";"63,00";"53,00";"75,00";"9,98";"8,19";"12,24";"620,00";"519,16";"746,60";"85,00";"60,75";"105,50";"10,16";"7,91";"13,04";"753,75";"596,25";"942,35"
2020;12. Usera;"7.861,00";"7.733,00";"128,00";"65,00";"54,00";"83,00";"9,44";"7,81";"11,67";"610,00";"500,00";"750,00";"81,00";"66,00";"95,00";"8,68";"7,26";"10,59";"650,00";"553,03";"800,00"
2020;13. Puente de Vallecas;"13.463,00";"13.222,00";"241,00";"60,00";"51,00";"74,00";"9,72";"8,04";"12,00";"600,00";"500,00";"700,00";"69,00";"63,00";"78,00";"8,70";"6,99";"10,69";"600,00";"500,00";"700,00"
2020;14. Moratalaz;"5.333,00";"5.321,00";"12,00";"70,00";"58,00";"83,00";"10,09";"8,70";"11,75";"700,00";"600,00";"832,20";"165,50";"102,00";"214,25";"8,76";"5,91";"11,41";"937,50";"576,25";"1.339,18"
2020;15. Ciudad Lineal;"19.251,00";"19.116,00";"135,00";"64,00";"53,00";"77,00";"11,49";"9,47";"14,09";"725,00";"600,00";"890,61";"137,00";"78,00";"169,00";"10,37";"7,37";"13,79";"950,00";"650,00";"1.458,33"
2020;16. Hortaleza;"12.886,00";"12.418,00";"468,00";"80,00";"61,00";"103,00";"12,04";"10,00";"14,56";"885,00";"700,00";"1.135,49";"270,00";"155,25";"345,50";"11,44";"8,31";"15,04";"2.248,54";"1.000,59";"3.453,19"
2020;17. Villaverde;"7.956,00";"7.887,00";"69,00";"66,00";"56,00";"83,00";"8,65";"7,25";"10,30";"575,00";"486,44";"689,85";"56,00";"47,00";"148,50";"8,12";"5,68";"9,99";"515,00";"418,33";"758,54"
2020;18. Villa de Vallecas;"6.822,00";"6.791,00";"31,00";"70,00";"55,00";"86,00";"10,56";"8,73";"13,24";"680,00";"580,00";"791,85";"182,00";"115,00";"202,00";"7,84";"6,32";"9,12";"1.008,33";"700,00";"1.300,00"
2020;19. Vicálvaro;"4.109,00";"4.085,00";"24,00";"72,00";"60,00";"97,00";"9,50";"8,17";"11,02";"690,00";"550,00";"827,08";"89,50";"85,25";"224,50";"9,22";"4,96";"11,07";"802,79";"634,48";"994,29"
2020;20. San Blas-Canillejas;"9.864,00";"9.655,00";"209,00";"69,00";"52,00";"85,00";"11,05";"9,26";"13,30";"725,00";"600,00";"875,00";"209,00";"73,50";"258,50";"9,60";"7,36";"12,10";"1.100,00";"661,83";"2.007,66"
2020;21. Barajas;"3.534,00";"3.380,00";"154,00";"80,00";"58,00";"94,00";"11,48";"9,63";"13,66";"800,00";"650,00";"1.000,00";"223,50";"118,75";"293,25";"9,27";"6,14";"11,82";"1.406,86";"673,96";"1.951,88"
2021;Ciudad de Madrid;"271.600,00";"268.532,00";"3.068,00";"66,00";"51,00";"85,00";"12,31";"9,74";"15,63";"765,25";"611,38";"1.000,00";"167,00";"80,00";"268,00";"10,41";"7,62";"13,39";"1.175,32";"680,00";"2.268,68"
2021;01. Centro;"19.583,00";"19.576,00";"7,00";"55,00";"41,00";"77,00";"15,32";"12,12";"18,60";"825,00";"650,00";"1.087,15";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2021;02. Arganzuela;"14.969,00";"14.965,00";"4,00";"63,00";"47,00";"81,00";"14,04";"11,63";"16,80";"850,00";"677,50";"1.050,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2021;03. Retiro;"9.465,00";"9.427,00";"38,00";"72,00";"51,00";"95,00";"14,10";"11,63";"17,07";"950,00";"750,00";"1.234,44";"164,00";"78,50";"234,00";"13,01";"8,27";"15,50";"1.244,86";"791,24";"2.533,75"
2021;04. Salamanca;"15.954,00";"15.883,00";"71,00";"65,00";"47,00";"93,00";"15,67";"12,50";"19,24";"969,21";"750,00";"1.350,00";"207,00";"120,00";"246,00";"11,12";"7,14";"14,94";"1.700,00";"991,50";"2.500,00"
2021;05. Chamartín;"14.590,00";"14.315,00";"275,00";"68,00";"50,00";"90,00";"14,84";"12,24";"17,73";"951,72";"760,21";"1.273,00";"182,00";"130,00";"265,00";"14,15";"9,87";"17,51";"2.250,00";"1.499,73";"3.250,00"
2021;06. Tetuán;"18.140,00";"18.082,00";"58,00";"56,00";"44,00";"73,00";"13,95";"11,22";"17,07";"756,23";"625,00";"950,00";"76,00";"67,00";"167,00";"11,62";"9,24";"13,51";"889,75";"697,82";"1.463,50"
2021;07. Chamberí;"17.944,00";"17.925,00";"19,00";"64,00";"46,00";"90,00";"16,05";"12,96";"19,39";"998,75";"756,92";"1.347,90";"49,00";"42,00";"119,00";"13,73";"8,84";"18,76";"700,00";"612,50";"958,68"
2021;08. Fuencarral-El Pardo;"19.248,00";"18.788,00";"460,00";"77,00";"55,00";"104,00";"12,37";"10,50";"14,34";"894,61";"700,00";"1.150,47";"200,50";"110,00";"295,00";"9,90";"7,30";"12,39";"1.335,90";"750,31";"2.300,00"
2021;09. Moncloa-Aravaca;"10.238,00";"9.808,00";"430,00";"70,00";"54,25";"93,00";"13,61";"11,11";"16,67";"900,49";"730,00";"1.250,73";"242,00";"183,00";"339,00";"11,31";"8,28";"13,88";"1.929,28";"1.175,36";"2.650,00"
2021;10. Latina;"17.430,00";"17.327,00";"103,00";"66,00";"58,00";"74,00";"10,14";"8,55";"12,01";"651,95";"556,05";"767,90";"90,00";"70,00";"135,00";"8,55";"6,56";"10,42";"670,83";"550,00";"883,39"
2021;11. Carabanchel;"19.082,00";"18.990,00";"92,00";"64,00";"53,00";"75,00";"10,27";"8,47";"12,50";"650,00";"550,00";"750,00";"84,00";"60,00";"102,75";"10,96";"8,15";"13,51";"788,91";"630,42";"962,54"
2021;12. Usera;"8.255,00";"8.126,00";"129,00";"66,00";"55,00";"83,00";"9,79";"8,06";"11,91";"645,09";"530,10";"750,41";"81,00";"62,50";"95,00";"8,66";"7,27";"10,60";"668,75";"570,96";"800,00"
2021;13. Puente de Vallecas;"14.145,00";"13.898,00";"247,00";"60,00";"51,00";"74,00";"10,00";"8,33";"12,23";"600,01";"512,00";"700,00";"69,00";"63,00";"80,00";"8,70";"7,02";"10,73";"600,00";"500,00";"718,10"
2021;14. Moratalaz;"5.519,00";"5.510,00";"9,00";"70,00";"58,00";"83,00";"10,34";"8,88";"11,90";"703,40";"600,00";"844,59";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2021;15. Ciudad Lineal;"19.785,00";"19.646,00";"139,00";"64,00";"53,00";"77,00";"11,70";"9,74";"14,11";"735,51";"604,80";"898,00";"132,00";"78,00";"166,00";"10,87";"7,83";"14,08";"950,00";"660,00";"1.500,00"
2021;16. Hortaleza;"13.394,00";"12.920,00";"474,00";"80,00";"62,00";"104,00";"12,18";"10,19";"14,60";"896,61";"700,00";"1.148,57";"270,00";"146,25";"350,75";"11,56";"8,67";"14,97";"2.330,18";"1.014,33";"3.500,00"
2021;17. Villaverde;"8.285,00";"8.215,00";"70,00";"66,00";"56,00";"83,00";"8,93";"7,47";"10,53";"600,00";"500,00";"700,00";"51,50";"47,00";"135,75";"8,42";"5,90";"10,15";"550,00";"442,50";"650,00"
2021;18. Villa de Vallecas;"7.133,00";"7.098,00";"35,00";"70,00";"55,00";"87,00";"10,66";"8,91";"13,28";"695,00";"600,00";"800,00";"194,00";"115,00";"207,00";"8,48";"6,86";"9,70";"1.190,00";"716,67";"1.300,00"
2021;19. Vicálvaro;"4.414,00";"4.385,00";"29,00";"73,00";"60,00";"98,00";"9,68";"8,42";"11,18";"700,00";"575,00";"850,00";"89,00";"67,00";"201,50";"8,82";"6,48";"12,50";"775,00";"609,95";"1.025,00"
2021;20. San Blas-Canillejas;"10.356,00";"10.141,00";"215,00";"69,00";"52,00";"85,00";"11,28";"9,48";"13,45";"735,00";"601,65";"890,93";"205,00";"73,00";"259,00";"9,95";"7,78";"12,50";"1.218,75";"700,00";"2.000,81"
2021;21. Barajas;"3.671,00";"3.507,00";"164,00";"80,00";"58,00";"95,00";"11,69";"9,89";"13,77";"825,74";"660,00";"1.007,78";"216,50";"103,00";"292,25";"9,77";"6,08";"11,86";"1.355,72";"631,35";"1.963,99"
2022;Ciudad de Madrid;"281.462,00";"278.359,00";"3.103,00";"66,00";"51,00";"85,00";"12,77";"10,14";"16,18";"800,00";"650,00";"1.041,67";"165,00";"78,00";"267,00";"11,30";"8,31";"14,74";"1.200,00";"700,00";"2.350,00"
2022;01. Centro;"19.945,00";"19.938,00";"7,00";"55,00";"41,00";"77,00";"16,01";"12,82";"19,42";"854,25";"693,33";"1.144,78";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2022;02. Arganzuela;"15.290,00";"15.286,00";"4,00";"63,00";"47,00";"81,00";"14,55";"12,08";"17,29";"861,66";"700,00";"1.100,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2022;03. Retiro;"9.698,00";"9.664,00";"34,00";"72,00";"51,00";"94,00";"14,58";"12,14";"17,65";"985,16";"775,00";"1.285,93";"159,50";"73,75";"224,75";"12,49";"8,21";"17,19";"1.178,00";"825,00";"2.526,58"
2022;04. Salamanca;"16.331,00";"16.267,00";"64,00";"65,00";"47,00";"92,00";"16,35";"13,13";"20,15";"1.000,00";"795,00";"1.414,34";"207,00";"108,75";"248,25";"11,51";"7,40";"15,89";"1.800,00";"893,31";"2.671,25"
2022;05. Chamartín;"15.054,00";"14.790,00";"264,00";"67,00";"50,00";"90,00";"15,44";"12,82";"18,39";"1.000,00";"800,00";"1.302,27";"187,50";"130,25";"262,50";"14,71";"10,87";"18,76";"2.317,24";"1.550,11";"3.334,79"
2022;06. Tetuán;"18.764,00";"18.703,00";"61,00";"56,00";"44,00";"73,00";"14,52";"11,70";"17,64";"795,27";"650,00";"989,99";"76,00";"67,00";"167,00";"12,20";"9,07";"15,83";"1.000,00";"700,00";"1.595,00"
