Ańo;Periodo;Territorio;Indicador;Valor;Unidad;Estado dato
2024;T4;Puente de Vallecas;Tasa de variación sobre igual período del ańo anterior;11.4;Porcentaje;
2024;T4;Retiro;Serie;120.309;Índice;
2024;T4;Retiro;Tasa de variación sobre el periodo anterior;0.4;Porcentaje;
2024;T4;Retiro;Tasa de variación sobre igual período del ańo anterior;13.4;Porcentaje;
2024;T4;Salamanca;Serie;125.527;Índice;
2024;T4;Salamanca;Tasa de variación sobre el periodo anterior;3.4;Porcentaje;
2024;T4;Salamanca;Tasa de variación sobre igual período del ańo anterior;9.6;Porcentaje;
2024;T4;San Blas-Canillejas;Serie;117.408;Índice;
2024;T4;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;5.5;Porcentaje;
2024;T4;San Blas-Canillejas;Tasa de variación sobre igual período del ańo anterior;12.6;Porcentaje;
2024;T4;Tetuán;Serie;122.013;Índice;
2024;T4;Tetuán;Tasa de variación sobre el periodo anterior;7.0;Porcentaje;
2024;T4;Tetuán;Tasa de variación sobre igual período del ańo anterior;15.2;Porcentaje;
2024;T4;Usera;Serie;122.486;Índice;
2024;T4;Usera;Tasa de variación sobre el periodo anterior;4.6;Porcentaje;
2024;T4;Usera;Tasa de variación sobre igual período del ańo anterior;16.4;Porcentaje;
2024;T4;Vicálvaro;Serie;114.429;Índice;
2024;T4;Vicálvaro;Tasa de variación sobre el periodo anterior;3.5;Porcentaje;
2024;T4;Vicálvaro;Tasa de variación sobre igual período del ańo anterior;7.7;Porcentaje;
2024;T4;Villa de Vallecas;Serie;116.867;Índice;
2024;T4;Villa de Vallecas;Tasa de variación sobre el periodo anterior;2.3;Porcentaje;
2024;T4;Villa de Vallecas;Tasa de variación sobre igual período del ańo anterior;13.5;Porcentaje;
2024;T4;Villaverde;Serie;121.788;Índice;
2024;T4;Villaverde;Tasa de variación sobre el periodo anterior;3.4;Porcentaje;
2024;T4;Villaverde;Tasa de variación sobre igual período del ańo anterior;14.0;Porcentaje;
2024;T3;Arganzuela;Serie;115.879;Índice;
2024;T3;Arganzuela;Tasa de variación sobre el periodo anterior;4.8;Porcentaje;
2024;T3;Arganzuela;Tasa de variación sobre igual período del ańo anterior;9.1;Porcentaje;
2024;T3;Barajas;Serie;105.93;Índice;
2024;T3;Barajas;Tasa de variación sobre el periodo anterior;-0.2;Porcentaje;
2024;T3;Barajas;Tasa de variación sobre igual período del ańo anterior;2.7;Porcentaje;
2024;T3;Carabanchel;Serie;118.315;Índice;
2024;T3;Carabanchel;Tasa de variación sobre el periodo anterior;3.7;Porcentaje;
2024;T3;Carabanchel;Tasa de variación sobre igual período del ańo anterior;15.3;Porcentaje;
2024;T3;Centro;Serie;110.765;Índice;
2024;T3;Centro;Tasa de variación sobre el periodo anterior;1.8;Porcentaje;
2024;T3;Centro;Tasa de variación sobre igual período del ańo anterior;5.6;Porcentaje;
2024;T3;Chamartín;Serie;124.123;Índice;
2024;T3;Chamartín;Tasa de variación sobre el periodo anterior;7.6;Porcentaje;
2024;T3;Chamartín;Tasa de variación sobre igual período del ańo anterior;17.5;Porcentaje;
2024;T3;Chamberí;Serie;119.753;Índice;
2024;T3;Chamberí;Tasa de variación sobre igual período del ańo anterior;9.5;Porcentaje;
2024;T3;Ciudad Lineal;Serie;116.906;Índice;
2024;T3;Ciudad Lineal;Tasa de variación sobre el periodo anterior;5.2;Porcentaje;
2024;T3;Ciudad Lineal;Tasa de variación sobre igual período del ańo anterior;12.2;Porcentaje;
2024;T3;Fuencarral-El Pardo;Serie;111.118;Índice;
2024;T3;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;3.3;Porcentaje;
2024;T3;Fuencarral-El Pardo;Tasa de variación sobre igual período del ańo anterior;7.6;Porcentaje;
2024;T3;Hortaleza;Serie;111.067;Índice;
2024;T3;Hortaleza;Tasa de variación sobre el periodo anterior;1.0;Porcentaje;
2024;T3;Hortaleza;Tasa de variación sobre igual período del ańo anterior;10.5;Porcentaje;
2024;T3;Latina;Serie;117.391;Índice;
2024;T3;Latina;Tasa de variación sobre el periodo anterior;4.2;Porcentaje;
2024;T3;Latina;Tasa de variación sobre igual período del ańo anterior;12.4;Porcentaje;
2024;T3;Moncloa-Aravaca;Serie;113.066;Índice;
2024;T3;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;0.1;Porcentaje;
2024;T3;Moncloa-Aravaca;Tasa de variación sobre igual período del ańo anterior;4.0;Porcentaje;
2024;T3;Moratalaz;Serie;116.503;Índice;
2024;T3;Moratalaz;Tasa de variación sobre el periodo anterior;4.1;Porcentaje;
2024;T3;Moratalaz;Tasa de variación sobre igual período del ańo anterior;11.5;Porcentaje;
2024;T3;Puente de Vallecas;Serie;117.311;Índice;
2024;T3;Puente de Vallecas;Tasa de variación sobre el periodo anterior;1.5;Porcentaje;
2024;T3;Puente de Vallecas;Tasa de variación sobre igual período del ańo anterior;10.9;Porcentaje;
2024;T3;Retiro;Serie;119.87;Índice;
2024;T3;Retiro;Tasa de variación sobre el periodo anterior;6.7;Porcentaje;
2024;T3;Retiro;Tasa de variación sobre igual período del ańo anterior;17.1;Porcentaje;
2024;T3;Salamanca;Serie;121.413;Índice;
2024;T3;Salamanca;Tasa de variación sobre el periodo anterior;4.1;Porcentaje;
2024;T3;Salamanca;Tasa de variación sobre igual período del ańo anterior;10.9;Porcentaje;
2024;T3;San Blas-Canillejas;Serie;111.339;Índice;
2024;T3;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;-0.1;Porcentaje;
2024;T3;San Blas-Canillejas;Tasa de variación sobre igual período del ańo anterior;5.3;Porcentaje;
2024;T3;Tetuán;Serie;114.081;Índice;
2024;T3;Tetuán;Tasa de variación sobre el periodo anterior;2.8;Porcentaje;
2024;T3;Tetuán;Tasa de variación sobre igual período del ańo anterior;10.4;Porcentaje;
2024;T3;Usera;Serie;117.099;Índice;
2024;T3;Usera;Tasa de variación sobre el periodo anterior;0.5;Porcentaje;
2024;T3;Usera;Tasa de variación sobre igual período del ańo anterior;11.9;Porcentaje;
2024;T3;Vicálvaro;Serie;110.592;Índice;
2024;T3;Vicálvaro;Tasa de variación sobre el periodo anterior;2.1;Porcentaje;
2024;T3;Vicálvaro;Tasa de variación sobre igual período del ańo anterior;4.1;Porcentaje;
2024;T3;Villa de Vallecas;Serie;114.222;Índice;
2024;T3;Villa de Vallecas;Tasa de variación sobre el periodo anterior;4.6;Porcentaje;
2024;T3;Villa de Vallecas;Tasa de variación sobre igual período del ańo anterior;13.5;Porcentaje;
2024;T3;Villaverde;Serie;117.777;Índice;
2024;T3;Villaverde;Tasa de variación sobre el periodo anterior;2.1;Porcentaje;
2024;T3;Villaverde;Tasa de variación sobre igual período del ańo anterior;14.4;Porcentaje;
2024;T2;Arganzuela;Serie;110.619;Índice;
2024;T2;Arganzuela;Tasa de variación sobre el periodo anterior;1.0;Porcentaje;
2024;T2;Arganzuela;Tasa de variación sobre igual período del ańo anterior;8.1;Porcentaje;
2024;T2;Barajas;Serie;106.173;Índice;
2024;T2;Barajas;Tasa de variación sobre el periodo anterior;1.7;Porcentaje;
2024;T2;Barajas;Tasa de variación sobre igual período del ańo anterior;6.8;Porcentaje;
2024;T2;Carabanchel;Serie;114.067;Índice;
2024;T2;Carabanchel;Tasa de variación sobre el periodo anterior;5.3;Porcentaje;
2024;T2;Carabanchel;Tasa de variación sobre igual período del ańo anterior;11.5;Porcentaje;
2024;T2;Centro;Serie;108.782;Índice;
2024;T2;Centro;Tasa de variación sobre el periodo anterior;0.4;Porcentaje;
2024;T2;Centro;Tasa de variación sobre igual período del ańo anterior;5.3;Porcentaje;
2024;T2;Chamartín;Serie;115.342;Índice;
2024;T2;Chamartín;Tasa de variación sobre el periodo anterior;4.0;Porcentaje;
2024;T2;Chamartín;Tasa de variación sobre igual período del ańo anterior;10.7;Porcentaje;
2024;T2;Chamberí;Serie;115.425;Índice;
2024;T2;Chamberí;Tasa de variación sobre igual período del ańo anterior;6.2;Porcentaje;
2024;T2;Ciudad Lineal;Serie;111.176;Índice;
2024;T2;Ciudad Lineal;Tasa de variación sobre el periodo anterior;1.5;Porcentaje;
2024;T2;Ciudad Lineal;Tasa de variación sobre igual período del ańo anterior;7.7;Porcentaje;
2024;T2;Fuencarral-El Pardo;Serie;107.579;Índice;
2024;T2;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;1.4;Porcentaje;
2024;T2;Fuencarral-El Pardo;Tasa de variación sobre igual período del ańo anterior;5.4;Porcentaje;
2024;T2;Hortaleza;Serie;109.983;Índice;
2024;T2;Hortaleza;Tasa de variación sobre el periodo anterior;4.3;Porcentaje;
2024;T2;Hortaleza;Tasa de variación sobre igual período del ańo anterior;10.7;Porcentaje;
2024;T2;Latina;Serie;112.617;Índice;
2024;T2;Latina;Tasa de variación sobre el periodo anterior;4.8;Porcentaje;
2024;T2;Latina;Tasa de variación sobre igual período del ańo anterior;10.6;Porcentaje;
2024;T2;Moncloa-Aravaca;Serie;112.913;Índice;
2024;T2;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;5.5;Porcentaje;
2024;T2;Moncloa-Aravaca;Tasa de variación sobre igual período del ańo anterior;8.5;Porcentaje;
2024;T2;Moratalaz;Serie;111.92;Índice;
2024;T2;Moratalaz;Tasa de variación sobre el periodo anterior;3.9;Porcentaje;
2024;T2;Moratalaz;Tasa de variación sobre igual período del ańo anterior;11.5;Porcentaje;
2024;T2;Puente de Vallecas;Serie;115.564;Índice;
2024;T2;Puente de Vallecas;Tasa de variación sobre el periodo anterior;6.2;Porcentaje;
2024;T2;Puente de Vallecas;Tasa de variación sobre igual período del ańo anterior;11.3;Porcentaje;
2024;T2;Retiro;Serie;112.307;Índice;
2024;T2;Retiro;Tasa de variación sobre el periodo anterior;5.0;Porcentaje;
2024;T2;Retiro;Tasa de variación sobre igual período del ańo anterior;7.7;Porcentaje;
2024;T2;Salamanca;Serie;116.611;Índice;
2024;T2;Salamanca;Tasa de variación sobre el periodo anterior;5.5;Porcentaje;
2024;T2;Salamanca;Tasa de variación sobre igual período del ańo anterior;7.7;Porcentaje;
2024;T2;San Blas-Canillejas;Serie;111.435;Índice;
2024;T2;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;2.8;Porcentaje;
2024;T2;San Blas-Canillejas;Tasa de variación sobre igual período del ańo anterior;8.1;Porcentaje;
2024;T2;Tetuán;Serie;111.019;Índice;
2024;T2;Tetuán;Tasa de variación sobre el periodo anterior;4.9;Porcentaje;
2024;T2;Tetuán;Tasa de variación sobre igual período del ańo anterior;11.5;Porcentaje;
2024;T2;Usera;Serie;116.486;Índice;
2024;T2;Usera;Tasa de variación sobre el periodo anterior;10.1;Porcentaje;
2024;T2;Usera;Tasa de variación sobre igual período del ańo anterior;11.9;Porcentaje;
2024;T2;Vicálvaro;Serie;108.336;Índice;
2024;T2;Vicálvaro;Tasa de variación sobre el periodo anterior;3.7;Porcentaje;
2024;T2;Vicálvaro;Tasa de variación sobre igual período del ańo anterior;6.1;Porcentaje;
2024;T2;Villa de Vallecas;Serie;109.16;Índice;
2024;T2;Villa de Vallecas;Tasa de variación sobre el periodo anterior;4.5;Porcentaje;
2024;T2;Villa de Vallecas;Tasa de variación sobre igual período del ańo anterior;6.8;Porcentaje;
2024;T2;Villaverde;Serie;115.335;Índice;
2024;T2;Villaverde;Tasa de variación sobre el periodo anterior;5.9;Porcentaje;
2024;T2;Villaverde;Tasa de variación sobre igual período del ańo anterior;8.2;Porcentaje;
2024;T1;Arganzuela;Serie;109.516;Índice;
2024;T1;Arganzuela;Tasa de variación sobre el periodo anterior;3.4;Porcentaje;
2024;T1;Arganzuela;Tasa de variación sobre igual período del ańo anterior;8.2;Porcentaje;
2024;T1;Barajas;Serie;104.347;Índice;
2024;T1;Barajas;Tasa de variación sobre el periodo anterior;-0.1;Porcentaje;
2024;T1;Barajas;Tasa de variación sobre igual período del ańo anterior;0.8;Porcentaje;
2024;T1;Carabanchel;Serie;108.333;Índice;
2024;T1;Carabanchel;Tasa de variación sobre el periodo anterior;-0.0;Porcentaje;
2024;T1;Carabanchel;Tasa de variación sobre igual período del ańo anterior;7.3;Porcentaje;
2024;T1;Centro;Serie;108.302;Índice;
2024;T1;Centro;Tasa de variación sobre el periodo anterior;4.1;Porcentaje;
2024;T1;Centro;Tasa de variación sobre igual período del ańo anterior;8.6;Porcentaje;
2024;T1;Chamartín;Serie;110.958;Índice;
2024;T1;Chamartín;Tasa de variación sobre el periodo anterior;5.9;Porcentaje;
2024;T1;Chamartín;Tasa de variación sobre igual período del ańo anterior;8.1;Porcentaje;
2024;T1;Chamberí;Serie;111.533;Índice;
2024;T1;Chamberí;Tasa de variación sobre igual período del ańo anterior;6.0;Porcentaje;
2024;T1;Ciudad Lineal;Serie;109.564;Índice;
2024;T1;Ciudad Lineal;Tasa de variación sobre el periodo anterior;4.2;Porcentaje;
2024;T1;Ciudad Lineal;Tasa de variación sobre igual período del ańo anterior;7.2;Porcentaje;
2024;T1;Fuencarral-El Pardo;Serie;106.136;Índice;
2024;T1;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;4.1;Porcentaje;
2024;T1;Fuencarral-El Pardo;Tasa de variación sobre igual período del ańo anterior;4.1;Porcentaje;
2024;T1;Hortaleza;Serie;105.464;Índice;
2024;T1;Hortaleza;Tasa de variación sobre el periodo anterior;1.5;Porcentaje;
2024;T1;Hortaleza;Tasa de variación sobre igual período del ańo anterior;3.0;Porcentaje;
2024;T1;Latina;Serie;107.486;Índice;
2024;T1;Latina;Tasa de variación sobre el periodo anterior;2.3;Porcentaje;
2024;T1;Latina;Tasa de variación sobre igual período del ańo anterior;4.9;Porcentaje;
2024;T1;Moncloa-Aravaca;Serie;107.045;Índice;
2024;T1;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;-1.1;Porcentaje;
2024;T1;Moncloa-Aravaca;Tasa de variación sobre igual período del ańo anterior;3.5;Porcentaje;
2024;T1;Moratalaz;Serie;107.705;Índice;
2024;T1;Moratalaz;Tasa de variación sobre el periodo anterior;1.2;Porcentaje;
2024;T1;Moratalaz;Tasa de variación sobre igual período del ańo anterior;6.8;Porcentaje;
2024;T1;Puente de Vallecas;Serie;108.843;Índice;
2024;T1;Puente de Vallecas;Tasa de variación sobre el periodo anterior;2.2;Porcentaje;
2024;T1;Puente de Vallecas;Tasa de variación sobre igual período del ańo anterior;8.1;Porcentaje;
2024;T1;Retiro;Serie;106.93;Índice;
2024;T1;Retiro;Tasa de variación sobre el periodo anterior;0.8;Porcentaje;
2024;T1;Retiro;Tasa de variación sobre igual período del ańo anterior;4.7;Porcentaje;
2024;T1;Salamanca;Serie;110.483;Índice;
2024;T1;Salamanca;Tasa de variación sobre el periodo anterior;-3.5;Porcentaje;
2024;T1;Salamanca;Tasa de variación sobre igual período del ańo anterior;5.0;Porcentaje;
2024;T1;San Blas-Canillejas;Serie;108.394;Índice;
2024;T1;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;3.9;Porcentaje;
2024;T1;San Blas-Canillejas;Tasa de variación sobre igual período del ańo anterior;9.2;Porcentaje;
2024;T1;Tetuán;Serie;105.805;Índice;
2024;T1;Tetuán;Tasa de variación sobre el periodo anterior;-0.1;Porcentaje;
2024;T1;Tetuán;Tasa de variación sobre igual período del ańo anterior;3.7;Porcentaje;
2024;T1;Usera;Serie;105.826;Índice;
2024;T1;Usera;Tasa de variación sobre el periodo anterior;0.5;Porcentaje;
2024;T1;Usera;Tasa de variación sobre igual período del ańo anterior;2.7;Porcentaje;
2024;T1;Vicálvaro;Serie;104.507;Índice;
2024;T1;Vicálvaro;Tasa de variación sobre el periodo anterior;-1.6;Porcentaje;
2024;T1;Vicálvaro;Tasa de variación sobre igual período del ańo anterior;4.1;Porcentaje;
2024;T1;Villa de Vallecas;Serie;104.449;Índice;
2024;T1;Villa de Vallecas;Tasa de variación sobre el periodo anterior;1.4;Porcentaje;
2024;T1;Villa de Vallecas;Tasa de variación sobre igual período del ańo anterior;4.9;Porcentaje;
2024;T1;Villaverde;Serie;108.89;Índice;
2024;T1;Villaverde;Tasa de variación sobre el periodo anterior;1.9;Porcentaje;
2024;T1;Villaverde;Tasa de variación sobre igual período del ańo anterior;6.5;Porcentaje;
2023;T4;Arganzuela;Serie;105.926;Índice;
2023;T4;Arganzuela;Tasa de variación sobre el periodo anterior;-0.2;Porcentaje;
2023;T4;Arganzuela;Tasa de variación sobre igual período del ańo anterior;3.9;Porcentaje;
2023;T4;Barajas;Serie;104.429;Índice;
2023;T4;Barajas;Tasa de variación sobre el periodo anterior;1.3;Porcentaje;
2023;T4;Barajas;Tasa de variación sobre igual período del ańo anterior;4.5;Porcentaje;
2023;T4;Carabanchel;Serie;108.346;Índice;
2023;T4;Carabanchel;Tasa de variación sobre el periodo anterior;5.6;Porcentaje;
2023;T4;Carabanchel;Tasa de variación sobre igual período del ańo anterior;7.7;Porcentaje;
2023;T4;Centro;Serie;104.056;Índice;
2023;T4;Centro;Tasa de variación sobre el periodo anterior;-0.8;Porcentaje;
2023;T4;Centro;Tasa de variación sobre igual período del ańo anterior;2.2;Porcentaje;
2023;T4;Chamartín;Serie;104.799;Índice;
2023;T4;Chamartín;Tasa de variación sobre el periodo anterior;-0.8;Porcentaje;
2023;T4;Chamartín;Tasa de variación sobre igual período del ańo anterior;4.6;Porcentaje;
2023;T4;Chamberí;Serie;108.112;Índice;
2023;T4;Chamberí;Tasa de variación sobre igual período del ańo anterior;4.1;Porcentaje;
2023;T4;Ciudad Lineal;Serie;105.149;Índice;
2023;T4;Ciudad Lineal;Tasa de variación sobre el periodo anterior;0.9;Porcentaje;
2023;T4;Ciudad Lineal;Tasa de variación sobre igual período del ańo anterior;3.9;Porcentaje;
2023;T4;Fuencarral-El Pardo;Serie;101.908;Índice;
2023;T4;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;-1.3;Porcentaje;
2023;T4;Fuencarral-El Pardo;Tasa de variación sobre igual período del ańo anterior;2.5;Porcentaje;
2023;T4;Hortaleza;Serie;103.914;Índice;
2023;T4;Hortaleza;Tasa de variación sobre el periodo anterior;3.4;Porcentaje;
2023;T4;Hortaleza;Tasa de variación sobre igual período del ańo anterior;3.2;Porcentaje;
2023;T4;Latina;Serie;105.086;Índice;
2023;T4;Latina;Tasa de variación sobre el periodo anterior;0.6;Porcentaje;
2023;T4;Latina;Tasa de variación sobre igual período del ańo anterior;4.2;Porcentaje;
2023;T4;Moncloa-Aravaca;Serie;108.238;Índice;
2023;T4;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;-0.4;Porcentaje;
2023;T4;Moncloa-Aravaca;Tasa de variación sobre igual período del ańo anterior;7.2;Porcentaje;
2023;T4;Moratalaz;Serie;106.478;Índice;
2023;T4;Moratalaz;Tasa de variación sobre el periodo anterior;1.9;Porcentaje;
2023;T4;Moratalaz;Tasa de variación sobre igual período del ańo anterior;7.6;Porcentaje;
2023;T4;Puente de Vallecas;Serie;106.489;Índice;
2023;T4;Puente de Vallecas;Tasa de variación sobre el periodo anterior;0.6;Porcentaje;
2023;T4;Puente de Vallecas;Tasa de variación sobre igual período del ańo anterior;5.0;Porcentaje;
2023;T4;Retiro;Serie;106.082;Índice;
2023;T4;Retiro;Tasa de variación sobre el periodo anterior;3.6;Porcentaje;
2023;T4;Retiro;Tasa de variación sobre igual período del ańo anterior;3.7;Porcentaje;
2023;T4;Salamanca;Serie;114.534;Índice;
2023;T4;Salamanca;Tasa de variación sobre el periodo anterior;4.6;Porcentaje;
2023;T4;Salamanca;Tasa de variación sobre igual período del ańo anterior;9.5;Porcentaje;
2023;T4;San Blas-Canillejas;Serie;104.287;Índice;
2023;T4;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;-1.3;Porcentaje;
2023;T4;San Blas-Canillejas;Tasa de variación sobre igual período del ańo anterior;3.9;Porcentaje;
2023;T4;Tetuán;Serie;105.91;Índice;
2023;T4;Tetuán;Tasa de variación sobre el periodo anterior;2.5;Porcentaje;
2023;T4;Tetuán;Tasa de variación sobre igual período del ańo anterior;5.4;Porcentaje;
2023;T4;Usera;Serie;105.263;Índice;
2023;T4;Usera;Tasa de variación sobre el periodo anterior;0.6;Porcentaje;
2023;T4;Usera;Tasa de variación sobre igual período del ańo anterior;2.1;Porcentaje;
2023;T4;Vicálvaro;Serie;106.22;Índice;
2023;T4;Vicálvaro;Tasa de variación sobre el periodo anterior;-0.0;Porcentaje;
2023;T4;Vicálvaro;Tasa de variación sobre igual período del ańo anterior;4.0;Porcentaje;
2023;T4;Villa de Vallecas;Serie;102.978;Índice;
2023;T4;Villa de Vallecas;Tasa de variación sobre el periodo anterior;2.3;Porcentaje;
2023;T4;Villa de Vallecas;Tasa de variación sobre igual período del ańo anterior;2.6;Porcentaje;
2023;T4;Villaverde;Serie;106.84;Índice;
2023;T4;Villaverde;Tasa de variación sobre el periodo anterior;3.8;Porcentaje;
2023;T4;Villaverde;Tasa de variación sobre igual período del ańo anterior;3.5;Porcentaje;
2023;T3;Arganzuela;Serie;106.19;Índice;
2023;T3;Arganzuela;Tasa de variación sobre el periodo anterior;3.8;Porcentaje;
2023;T3;Arganzuela;Tasa de variación sobre igual período del ańo anterior;5.5;Porcentaje;
2023;T3;Barajas;Serie;103.128;Índice;
2023;T3;Barajas;Tasa de variación sobre el periodo anterior;3.8;Porcentaje;
2023;T3;Barajas;Tasa de variación sobre igual período del ańo anterior;2.3;Porcentaje;
2023;T3;Carabanchel;Serie;102.631;Índice;
2023;T3;Carabanchel;Tasa de variación sobre el periodo anterior;0.4;Porcentaje;
2023;T3;Carabanchel;Tasa de variación sobre igual período del ańo anterior;0.5;Porcentaje;
2023;T3;Centro;Serie;104.92;Índice;
2023;T3;Centro;Tasa de variación sobre el periodo anterior;1.6;Porcentaje;
2023;T3;Centro;Tasa de variación sobre igual período del ańo anterior;5.1;Porcentaje;
2023;T3;Chamartín;Serie;105.676;Índice;
2023;T3;Chamartín;Tasa de variación sobre el periodo anterior;1.4;Porcentaje;
